CICLO,EVENTO,LOTE,SUP,pp Nov,pp Dic,pp Ene,IPC,EROSION POTENCIAL,EVI 1 Nov media,EVI 1 Nov min,EVI 1 Nov max,EVI 17 Nov media,EVI 17 Nov min,EVI 17 Nov max,EVI 3 Dic media,EVI 3 Dic min,EVI 3 Dic max,EVI 19 Dic media,EVI 19 Dic min,EVI 19 Dic max,EVI 1 Ene media,EVI 1 Ene min,EVI 1 Ene max,EVI 17 Ene media,EVI 17 Ene min,EVI 17 Ene max,EVI 2 Feb media,EVI 2 Feb min,EVI 2 Feb max,RINDE,H_Nov,H_Dic,H_Ene,T_Med_Nov,T > 33 Nov,T_Med_Dic,T > 33 Dic,T_Med_Ene,T > 33 Ene
2001/02,Neutro,TEMPEL N2,64.8,353,140,156,52,moderadamente susceptible,0.2127125,0.2035,0.2397,0.4679625,0.437,0.4854,0.7799625,0.7469,0.8075,0.75525,0.6807,0.7747,0.6201125,0.5831,0.6363,0.6165375,0.6057,0.6218,0.4905625,0.466,0.5125,6675,1458,677,1064,20.4,0,22.9,0,24.5,6
2001/02,Neutro,3D,118.4,353,140,156,34,practicamente no susceptible,0.509707142857143,0.463,0.6164,0.70085,0.6382,0.7478,0.760214285714286,0.647,0.7971,0.6446071428571429,0.6187,0.6901,0.54605,0.4911,0.5911,0.379578571428571,0.2952,0.5838,0.18551428571428602,0.1621,0.3018,8357,1463,696,1111,20.4,0,22.9,0,24.5,6
2001/02,Neutro,6NORTE,143.6,353,140,156,32,moderadamente susceptible,0.484928571428571,0.463,0.5108,0.679592857142857,0.5523,0.7642,0.77295,0.7054,0.8311,0.6374,0.5363,0.701,0.525971428571429,0.4902,0.5562,0.313514285714286,0.2923,0.3375,0.19344285714285703,0.1622,0.3257,7296,1459,689,1093,20.4,0,22.9,0,24.5,6
2001/02,Neutro,BUEYES NORTE,143.1,358,136,120,32,moderadamente susceptible,0.327773333333333,0.2531,0.4823,0.38142,0.1976,0.6323,0.4633,0.233,0.6377,0.522046666666667,0.4422,0.5597,0.5743,0.4478,0.7055,0.593546666666667,0.4535,0.7629,0.465686666666667,0.3191,0.5997,4668,1455,689,1092,20.4,0,22.9,0,24.5,6
2001/02,Neutro,4,69.4,337,153,170,50,moderadamente susceptible,0.374044444444444,0.2448,0.4344,0.5584555555555559,0.4363,0.6568,0.627522222222222,0.5051,0.7217,0.593933333333333,0.5056,0.6538,0.552533333333333,0.4881,0.5766,0.505733333333333,0.479,0.5309,0.303333333333333,0.2859,0.3385,5848,1483,759,1239,20.4,0,22.9,0,24.5,6
2001/02,Neutro,10,94.4,337,153,170,50,moderadamente susceptible,0.24656666666666702,0.1959,0.3493,0.4441,0.317,0.5758,0.528525,0.364,0.6684,0.5448833333333329,0.4168,0.6676,0.47508333333333297,0.4004,0.5308,0.449116666666667,0.4048,0.4666,0.25595,0.1999,0.318,5596,1480,754,1236,20.4,0,22.9,0,24.5,6
2001/02,Neutro,14,85.1,334,147,170,49,practicamente no susceptible,0.314890909090909,0.2179,0.4378,0.4474,0.3325,0.5871,0.532345454545455,0.4077,0.6048,0.4488,0.3232,0.5446,0.48970909090909104,0.4186,0.5724,0.463854545454545,0.4209,0.5547,0.2805,0.2081,0.3278,4091,1471,741,1249,20.4,0,22.9,0,24.5,6
2002/03,Niño,SAN CARLOS A NORTEL,97.2,356,405,121,40,moderadamente susceptible,0.56201,0.4716,0.6194,0.56201,0.4716,0.6194,0.5692,0.5284,0.6275,0.59456,0.5169,0.6477,0.57517,0.5506,0.6062,0.4889,0.4696,0.5273,0.24282,0.17,0.409,6961,1558,1575,792,21.3,0,22.3,0,25.1,4
2002/03,Niño,SAN FRANCISCO C,77.3,349,418,120,40,moderadamente susceptible,0.562575,0.5384,0.5917,0.562575,0.5384,0.5917,0.5712,0.4697,0.6183,0.6155,0.5872,0.6454,0.55315,0.5321,0.5843,0.476325,0.4609,0.527,0.2254375,0.1834,0.283,5615,1552,1565,785,21.3,0,22.3,0,25.1,4
2002/03,Niño,3C3,68.5,349,418,120,None,None,0.5614285714285709,0.4923,0.6108,0.5614285714285709,0.4923,0.6108,0.611142857142857,0.5584,0.6438,0.5823857142857141,0.4605,0.6565,0.597185714285714,0.5508,0.6417,0.531728571428571,0.4739,0.5545,0.198314285714286,0.1554,0.2652,8849,1556,1569,805,21.3,0,22.3,0,25.1,4
2002/03,Niño,9 ESTE,113.3,351,41,126,73,levemente susceptible,0.574775,0.4995,0.6833,0.574775,0.4995,0.6833,0.592175,0.5534,0.675,0.591375,0.5473,0.6186,0.5724,0.5394,0.6234,0.471291666666667,0.4392,0.4994,0.27975,0.2623,0.3405,5844,1552,1566,812,21.3,0,22.3,0,25.1,4
